组播测试,#genre#
河北农民高清,http://121.29.91.219:7077/rtp/239.253.92.176:6006
河北公共高清,http://121.29.91.219:7077/rtp/239.253.92.175:6005
河北少儿科教高清,http://121.29.91.219:7077/rtp/239.253.92.174:6004
河北影视剧高清,http://121.29.91.219:7077/rtp/239.253.92.173:6003
河北都市高清,http://121.29.91.219:7077/rtp/239.253.92.172:6002
河北卫视高清,http://121.29.91.219:7077/rtp/239.253.92.154:6011
CCTV-1综合,http://121.29.91.219:7077/rtp/239.253.92.83:8012
CCTV-2财经,http://121.29.91.219:7077/rtp/239.253.92.190:6065
CCTV-3综艺,http://121.29.91.219:7077/rtp/239.253.92.191:6057
CCTV-4亚洲,http://121.29.91.219:7077/rtp/239.253.92.251:6141
CCTV-5体育,http://121.29.91.219:7077/rtp/239.253.92.181:6046
CCTV-6电影,http://121.29.91.219:7077/rtp/239.253.92.193:6058
CCTV-7国防军事,http://121.29.91.219:7077/rtp/239.253.92.194:6059
CCTV-8电视剧,http://121.29.91.219:7077/rtp/239.253.92.195:6060
CCTV-9纪录,http://121.29.91.219:7077/rtp/239.253.92.107:6020
CCTV-10科教,http://121.29.91.219:7077/rtp/239.253.92.196:6061
CCTV-11戏曲,http://121.29.91.219:7077/rtp/239.253.93.153:6321
CCTV-12社会与法,http://121.29.91.219:7077/rtp/239.253.92.197:6062
CCTV-13新闻,http://121.29.91.219:7077/rtp/239.253.92.13:8008
CCTV-14少儿,http://121.29.91.219:7077/rtp/239.253.92.198:6063
CCTV-15音乐,http://121.29.91.219:7077/rtp/239.253.93.154:6322
CCTV-17农业农村,http://121.29.91.219:7077/rtp/239.253.93.150:6318
CCTV-5+体育赛事,http://121.29.91.219:7077/rtp/239.253.92.82:8013
石家庄新闻综合高清,http://121.29.91.219:7077/rtp/239.253.92.149:6035
石家庄娱乐,http://121.29.91.219:7077/rtp/239.253.92.93:8120
石家庄生活,http://121.29.91.219:7077/rtp/239.253.92.94:8121
石家庄都市,http://121.29.91.219:7077/rtp/239.253.92.95:8122
湖南卫视高清,http://121.29.91.219:7077/rtp/239.253.92.84:8015
浙江卫视高清,http://121.29.91.219:7077/rtp/239.253.92.90:8020
江苏卫视高清,http://121.29.91.219:7077/rtp/239.253.92.88:8018
北京卫视高清,http://121.29.91.219:7077/rtp/239.253.92.87:8014
东南卫视高清,http://121.29.91.219:7077/rtp/239.253.92.201:6146
东方卫视高清,http://121.29.91.219:7077/rtp/239.253.92.89:8019
天津卫视高清,http://121.29.91.219:7077/rtp/239.253.92.91:8021
深圳卫视高清,http://121.29.91.219:7077/rtp/239.253.92.86:8017
山东卫视高清,http://121.29.91.219:7077/rtp/239.253.92.207:8109
广东卫视高清,http://121.29.91.219:7077/rtp/239.253.92.206:8108
黑龙江卫视高清,http://121.29.91.219:7077/rtp/239.253.92.85:8016
辽宁卫视高清,http://121.29.91.219:7077/rtp/239.253.92.115:6056
安徽卫视高清,http://121.29.91.219:7077/rtp/239.253.92.209:6566
湖北卫视高清,http://121.29.91.219:7077/rtp/239.253.92.210:6567
四川卫视高清,http://121.29.91.219:7077/rtp/239.253.92.16:6043
重庆卫视高清,http://121.29.91.219:7077/rtp/239.253.92.10:6053
河南卫视高清,http://121.29.91.219:7077/rtp/239.253.92.137:6144
金鹰纪实高清,http://121.29.91.219:7077/rtp/239.253.92.103:6054
广西卫视高清,http://121.29.91.219:7077/rtp/239.253.92.76:8043
贵州卫视高清,http://121.29.91.219:7077/rtp/239.253.92.105:6055
江西卫视高清,http://121.29.91.219:7077/rtp/239.253.92.19:6145
吉林卫视高清,http://121.29.91.219:7077/rtp/239.253.92.202:6147
海南卫视高清,http://121.29.91.219:7077/rtp/239.253.93.155:6323
BRTV纪实科教,http://121.29.91.219:7077/rtp/239.253.93.190:6358
承德新闻综合,http://121.29.91.219:7077/rtp/239.253.92.222:8112
承德公共,http://121.29.91.219:7077/rtp/239.253.92.223:8113
张家口新闻综合,http://121.29.91.219:7077/rtp/239.253.92.225:8115
张家口公共,http://121.29.91.219:7077/rtp/239.253.92.226:8116
秦皇岛新闻综合,http://121.29.91.219:7077/rtp/239.253.92.52:6021
秦皇岛公共,http://121.29.91.219:7077/rtp/239.253.92.53:6022
秦皇岛影视,http://121.29.91.219:7077/rtp/239.253.92.54:6023
唐山新闻综合,http://121.29.91.219:7077/rtp/239.253.92.245:6089
唐山生活服务,http://121.29.91.219:7077/rtp/239.253.92.126:6026
唐山影视,http://121.29.91.219:7077/rtp/239.253.92.127:6027
唐山公共,http://121.29.91.219:7077/rtp/239.253.92.128:6028
廊坊新闻,http://121.29.91.219:7077/rtp/239.253.92.164:6036
廊坊公共,http://121.29.91.219:7077/rtp/239.253.92.166:6037
沧州新闻综合,http://121.29.91.219:7077/rtp/239.253.92.121:6015
沧州公共,http://121.29.91.219:7077/rtp/239.253.92.122:6016
沧州影视娱乐,http://121.29.91.219:7077/rtp/239.253.92.123:6017
保定新闻综合,http://121.29.91.219:7077/rtp/239.253.93.2:6153
保定公共频道,http://121.29.91.219:7077/rtp/239.253.93.4:6157
保定生活健康,http://121.29.91.219:7077/rtp/239.253.93.5:6158
衡水新闻综合,http://121.29.91.219:7077/rtp/239.253.93.3:6154
衡水公共,http://121.29.91.219:7077/rtp/239.253.93.7:6160
邢台综合,http://121.29.91.219:7077/rtp/239.253.93.8:6161
邢台城市生活,http://121.29.91.219:7077/rtp/239.253.93.10:6163
邯郸新闻综合,http://121.29.91.219:7077/rtp/239.253.93.11:6164
邯郸公共,http://121.29.91.219:7077/rtp/239.253.93.12:6165
邯郸科技教育,http://121.29.91.219:7077/rtp/239.253.93.13:6166
元氏电视,http://121.29.91.219:7077/rtp/239.253.92.142:6040
无极电视,http://121.29.91.219:7077/rtp/239.253.92.138:6222
高邑电视,http://121.29.91.219:7077/rtp/239.253.92.160:6041
栾城电视,http://121.29.91.219:7077/rtp/239.253.92.187:6051
井陉矿区电视,http://121.29.91.219:7077/rtp/239.253.92.215:6067
赞皇电视,http://121.29.91.219:7077/rtp/239.253.92.12:6042
深泽电视,http://121.29.91.219:7077/rtp/239.253.94.31:6630
赵县电视,http://121.29.91.219:7077/rtp/239.253.93.140:6308
晋州电视,http://121.29.91.219:7077/rtp/239.253.93.156:6324
井陉电视,http://121.29.91.219:7077/rtp/239.253.93.205:6383
平泉电视,http://121.29.91.219:7077/rtp/239.253.92.156:6012
滦平电视,http://121.29.91.219:7077/rtp/239.253.92.100:6142
双滦电视,http://121.29.91.219:7077/rtp/239.253.92.147:6224
兴隆电视,http://121.29.91.219:7077/rtp/239.253.93.104:6271
隆化电视,http://121.29.91.219:7077/rtp/239.253.93.174:6342
承德电视,http://121.29.91.219:7077/rtp/239.253.94.28:6627
宽城新闻,http://121.29.91.219:7077/rtp/239.253.93.117:6019
任县电视,http://121.29.91.219:7077/rtp/239.253.93.145:6313
邯山电视,http://121.29.91.219:7077/rtp/239.253.93.146:6314
崇礼电视,http://121.29.91.219:7077/rtp/239.253.93.147:6315
顺平电视,http://121.29.91.219:7077/rtp/239.253.93.148:6316
张北电视,http://121.29.91.219:7077/rtp/239.253.93.159:6327
尚义电视,http://121.29.91.219:7077/rtp/239.253.93.163:6331
